,Speaker ID,Text_en,Text_ortho,Sent ID,Sound Url
0,Sp9,"Uh... one time I was with my mom and dad in the village, after I was grown (I was like eight), and my grandmother came to visit us.","Ehm di time wey I dey with my moder, my fader for village, after I con grow (I con dey like eight years), my grand moder con come visit us.",ABJ_GWA_08_David-Lifestory_MG__1,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
1,Sp9,She wanted to take me to go and train me.,Sey e wan carry me go meh e go train me.,ABJ_GWA_08_David-Lifestory_MG__2,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
2,Sp9,"Because at my dad's, we could only go to the farm.","Because for my fader village sef, na only farm, farm, farm we dey go.",ABJ_GWA_08_David-Lifestory_MG__3,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
3,Sp9,"At the time, I was small and could farm really well.","Dat time sef, I dey small, and I sabi do farm well, well.",ABJ_GWA_08_David-Lifestory_MG__4,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
4,Sp9,"My grandmother said this farm, this farm work was no good for me.","My grand moder say dis farm, say dis farm no go good for me.",ABJ_GWA_08_David-Lifestory_MG__5,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
5,Sp9,That I should go to school first.,Meh me a go for school first.,ABJ_GWA_08_David-Lifestory_MG__6,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
6,Sp9,So I went to my grandf-... grandmother's.,Con go my grand f-... moder place.,ABJ_GWA_08_David-Lifestory_MG__7,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
7,Sp9,I was schooled there for four years.,"I dey dere o, I school o, setay four years.",ABJ_GWA_08_David-Lifestory_MG__8,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
8,Sp9,"After those four years, my mom said the work had become too much for her to do alone.","After dat four years now, my moder con say di work alone don dey too much for am.",ABJ_GWA_08_David-Lifestory_MG__9,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
9,Sp9,That I should come help her for a while.,Make me I con help am for some times first.,ABJ_GWA_08_David-Lifestory_MG__10,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
10,Sp9,"I was there, helping her.","I con dey dere, con dey help am.",ABJ_GWA_08_David-Lifestory_MG__11,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
11,Sp9,I kept farming.,"Dey farm, dey farm.",ABJ_GWA_08_David-Lifestory_MG__12,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
12,Sp9,I farmed for almost five years.,I farm almost five years.,ABJ_GWA_08_David-Lifestory_MG__13,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
13,Sp9,I didn't go back to school.,I no go back to school again.,ABJ_GWA_08_David-Lifestory_MG__14,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
14,Sp9,I stayed there,I con dey o.,ABJ_GWA_08_David-Lifestory_MG__15,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
15,Sp9,"Ha! Even for money to buy things, you won't see any money.","Ah to see money to buy tins self, you no go see money.",ABJ_GWA_08_David-Lifestory_MG__16,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
16,Sp9,"For any little thing you do, though, you will make money quick.","But any small tin weh you do, you go quick get money.",ABJ_GWA_08_David-Lifestory_MG__17,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
17,Sp9,"Finding something to do, that was the hard part.","But to see am do, na im con dey hard.",ABJ_GWA_08_David-Lifestory_MG__18,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
18,Sp9,Until there were a lot of us.,Sotay we come plenty o.,ABJ_GWA_08_David-Lifestory_MG__19,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
19,Sp9,"So my friend and I, we started to work together for people.","Me, and my friend, we con dey do work for people together.",ABJ_GWA_08_David-Lifestory_MG__20,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
20,Sp9,"Then, at the end of the year, they would come give us our money.","Den, ending of di year, de go con dey pay us our money.",ABJ_GWA_08_David-Lifestory_MG__21,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
21,Sp9,"We would use it to buy clothes, anything we wanted.","We go use am, go buy cloth, wetin we wan.",ABJ_GWA_08_David-Lifestory_MG__22,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
22,Sp9,We used it to take care of ourselves.,"Dey use am, dey take care of ourself.",ABJ_GWA_08_David-Lifestory_MG__23,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
23,Sp9,"Then we did ""waye"" work again, we got the money and shared it","We con do waye work again, we con get di money, we con share our money together.",ABJ_GWA_08_David-Lifestory_MG__24,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
24,Sp9,All of us said we wanted to go to school.,All of us say we wan go school.,ABJ_GWA_08_David-Lifestory_MG__25,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
25,Sp9,We wanted to go back to school.,We wan go back to school.,ABJ_GWA_08_David-Lifestory_MG__26,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_08_Davids-lifestory_MG.wav
