Speaker ID,Text_en,Text_ortho,Sent ID,Sound Url
Sp3,"Auntie, good morning!","Auntie, good morning.",ABJ_GWA_02_Market-Food-Church_DG__1,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Good morning!,Good morning!,ABJ_GWA_02_Market-Food-Church_DG__2,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,How are you now?,How you dey now?,ABJ_GWA_02_Market-Food-Church_DG__3,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,I'm fine.,I dey fine.,ABJ_GWA_02_Market-Food-Church_DG__4,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,How was your night?,How your night?,ABJ_GWA_02_Market-Food-Church_DG__5,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,We thank God.,We thank God.,ABJ_GWA_02_Market-Food-Church_DG__6,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Hope you slept well?,Hope sey you sleep well?,ABJ_GWA_02_Market-Food-Church_DG__7,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Ah, my sister, I slept well.","Ah my sister, I sleep well o!",ABJ_GWA_02_Market-Food-Church_DG__8,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,You had electricity in your area last night?,Una get light for una area last night?,ABJ_GWA_02_Market-Food-Church_DG__9,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,We didn't.,We no get o.,ABJ_GWA_02_Market-Food-Church_DG__10,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Ah, what happened now?",Ah wetin happen now?,ABJ_GWA_02_Market-Food-Church_DG__11,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,It's NEPA.,Toh na NEPA o!,ABJ_GWA_02_Market-Food-Church_DG__12,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Aha, these people, I heard that they share the light.","Aha dese people, I hear sey de dey share di light.",ABJ_GWA_02_Market-Food-Church_DG__13,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"My sister, it's tiring.","My sister, di tin tire me o!",ABJ_GWA_02_Market-Food-Church_DG__14,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Eh!,Eh!,ABJ_GWA_02_Market-Food-Church_DG__15,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,They share it yet they bring overestimated bills.,"De just dey share am, but de go dey bring big bill.",ABJ_GWA_02_Market-Food-Church_DG__16,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Our ah...,Our ah...,ABJ_GWA_02_Market-Food-Church_DG__17,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"In fact, that bill is another thing again.","In fact, dat bill na anoder tin again.",ABJ_GWA_02_Market-Food-Church_DG__18,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"That it is, my sister.",Na so my sister.,ABJ_GWA_02_Market-Food-Church_DG__19,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,How much do they... how much... how much did they charge you on the bill?,"How much de dey, how much, how much de dey give una for una bill?",ABJ_GWA_02_Market-Food-Church_DG__20,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"Ah, my sister, it's seven thousand.","Ah my sister, na seven thousand o!",ABJ_GWA_02_Market-Food-Church_DG__21,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Jesus!,Jesus!,ABJ_GWA_02_Market-Food-Church_DG__22,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,Seven thousand for the light we don't have?,Seven thousand for di light wey we no dey see?,ABJ_GWA_02_Market-Food-Church_DG__23,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,That's right!,Na so o!,ABJ_GWA_02_Market-Food-Church_DG__24,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Ah, these people... eh, they won't kill someone.","Ah dese people, eh de no go kill person o!",ABJ_GWA_02_Market-Food-Church_DG__25,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,My sister.,My sister toh.,ABJ_GWA_02_Market-Food-Church_DG__26,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,How are you managing?,Toh how you dey manage now?,ABJ_GWA_02_Market-Food-Church_DG__27,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,How is your business?,How your business?,ABJ_GWA_02_Market-Food-Church_DG__28,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,"My sister, I'm managing.","My sister, I dey manage am.",ABJ_GWA_02_Market-Food-Church_DG__29,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Thank God.,Thank God!,ABJ_GWA_02_Market-Food-Church_DG__30,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,"Eyah, God will help us.",Eyah God go help us.,ABJ_GWA_02_Market-Food-Church_DG__31,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp275,Amen!,Amen o!,ABJ_GWA_02_Market-Food-Church_DG__32,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,There is one...,Toh e get one...,ABJ_GWA_02_Market-Food-Church_DG__33,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,There is a kind of dish that Mama Maro taught me.,E get one soup like dat wey Mama Maro bin teach me.,ABJ_GWA_02_Market-Food-Church_DG__34,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
Sp3,The dish is good.,Di soup make sense.,ABJ_GWA_02_Market-Food-Church_DG__35,http://naijasyncor.huma-num.fr/carte/mp3/ABJ_GWA_02_Market-Food-Church_DG.wav
